"Month","Passengers","PassDiv5"
"1949-01",112,22.4
"1949-02",118,23.6
"1949-03",132,26.4
"1949-04",129,25.8
"1949-05",121,24.2
"1949-06",135,27.0
"1949-07",148,29.6
"1949-08",148,29.6
"1949-09",136,27.2
"1949-10",119,23.8
"1949-11",104,20.8
"1949-12",118,23.6
"1950-01",115,23.0
"1950-02",126,25.2
"1950-03",141,28.2
"1950-04",135,27.0
"1950-05",125,25.0
"1950-06",149,29.8
"1950-07",170,34.0
"1950-08",170,34.0
"1950-09",158,31.6
"1950-10",133,26.6
"1950-11",114,22.8
"1950-12",140,28.0
"1951-01",145,29.0
"1951-02",150,30.0
"1951-03",178,35.6
"1951-04",163,32.6
"1951-05",172,34.4
"1951-06",178,35.6
"1951-07",199,39.8
"1951-08",199,39.8
"1951-09",184,36.8
"1951-10",162,32.4
"1951-11",146,29.2
"1951-12",166,33.2
"1952-01",171,34.2
"1952-02",180,36.0
"1952-03",193,38.6
"1952-04",181,36.2
"1952-05",183,36.6
"1952-06",218,43.6
"1952-07",230,46.0
"1952-08",242,48.4
"1952-09",209,41.8
"1952-10",191,38.2
"1952-11",172,34.4
"1952-12",194,38.8
"1953-01",196,39.2
"1953-02",196,39.2
"1953-03",236,47.2
"1953-04",235,47.0
"1953-05",229,45.8
"1953-06",243,48.6
"1953-07",264,52.8
"1953-08",272,54.4
"1953-09",237,47.4
"1953-10",211,42.2
"1953-11",180,36.0
"1953-12",201,40.2
"1954-01",204,40.8
"1954-02",188,37.6
"1954-03",235,47.0
"1954-04",227,45.4
"1954-05",234,46.8
"1954-06",264,52.8
"1954-07",302,60.4
"1954-08",293,58.6
"1954-09",259,51.8
"1954-10",229,45.8
"1954-11",203,40.6
"1954-12",229,45.8
"1955-01",242,48.4
"1955-02",233,46.6
"1955-03",267,53.4
"1955-04",269,53.8
"1955-05",270,54.0
"1955-06",315,63.0
"1955-07",364,72.8
"1955-08",347,69.4
"1955-09",312,62.4
"1955-10",274,54.8
"1955-11",237,47.4
"1955-12",278,55.6
"1956-01",284,56.8
"1956-02",277,55.4
"1956-03",317,63.4
"1956-04",313,62.6
"1956-05",318,63.6
"1956-06",374,74.8
"1956-07",413,82.6
"1956-08",405,81.0
"1956-09",355,71.0
"1956-10",306,61.2
"1956-11",271,54.2
"1956-12",306,61.2
"1957-01",315,63.0
"1957-02",301,60.2
"1957-03",356,71.2
"1957-04",348,69.6
"1957-05",355,71.0
"1957-06",422,84.4
"1957-07",465,93.0
"1957-08",467,93.4
"1957-09",404,80.8
"1957-10",347,69.4
"1957-11",305,61.0
"1957-12",336,67.2
"1958-01",340,68.0
"1958-02",318,63.6
"1958-03",362,72.4
"1958-04",348,69.6
"1958-05",363,72.6
"1958-06",435,87.0
"1958-07",491,98.2
"1958-08",505,101.0
"1958-09",404,80.8
"1958-10",359,71.8
"1958-11",310,62.0
"1958-12",337,67.4
"1959-01",360,72.0
"1959-02",342,68.4
"1959-03",406,81.2
"1959-04",396,79.2
"1959-05",420,84.0
"1959-06",472,94.4
"1959-07",548,109.6
"1959-08",559,111.8
"1959-09",463,92.6
"1959-10",407,81.4
"1959-11",362,72.4
"1959-12",405,81.0
"1960-01",417,83.4
"1960-02",391,78.2
"1960-03",419,83.8
"1960-04",461,92.2
"1960-05",472,94.4
"1960-06",535,107.0
"1960-07",622,124.4
"1960-08",606,121.2
"1960-09",508,101.6
"1960-10",461,92.2
"1960-11",390,78.0
"1960-12",432,86.4
